,City,Price,Title,bedroom,ft
2290,5BerryCourt,$1100,Four Sunny rooms in Victorian era 3 family,1br,600ft2
2291,,$1700,Proper Design. Smartly Priced. Ready for Move-In! Manchester Nh,2br,1125ft2
2292,,$1700,►►TWO BEDROOMS PET FRIENDLY - W/D IN THE UNIT ~MANCHESTER ◄,2br,1125ft2
2293,campton,$1300,"Campton, 2/3 bedroom apt. for rent",3br,
2294,Manchester,$1145,Call to see Southside Manor - Then call it Home -,1br,600ft2
2295,Manchester,$1145,Worry free and maintenance free ~ Call Today ~ Rural Area ~,1br,
2296,"80GolfviewDrive,Manchester,NH",$1550,Greenview Townhomes,2br,1200ft2
2297,"114BlaisdellSt.,Haverhill,MA",$850,First Floor One Bedroom Unit,1br,
2298,59OldHackettHillRdManchesterNH,$1810,"Regency Heights, Exclusive 55+ Living",2br,1140ft2
2299,"Lebanon,NH",$2175,Great Looking Townhouse Coming Soon! Prospect Hills,3br,1706ft2
2300,Laconia,$764,"Plan Ahead, Get On Our Waitlist",1br,690ft2
2301,1850FrontStManchesterNH,$1850,"Regency West, Luxury 55+ Apartments",2br,1140ft2
2302,Manchester,$1145,~ Walk to get your coffee in the morning ~ Close to shopping ~,1br,
2303,3CountryClubDrManchesterNH,$1875,Rivers Edge Condos in Manchester! Luxury 55+ Community,2br,1470ft2
2304,"DouglassSt.Keene,NH",$900,"Very nice, one bedroom apt, walking distance to downtown Keene",1br,
2305,"108WMainStreet,Merrimac,MA",$1600,OPEN HOUSE!!  REGENCY VILLAGE!!,1br,889ft2
2306,Nashua,$1500,Dog Friendly 2 Bedroom Available November 9th!,750ft2,
2307,Lebanon,$1790,"Cable Ready, High Speed Internet, Built In Microwave, Views Available",1br,697ft2
2308,TheResidencesatSundial,$1505,You deserve luxury! Come home to The Residences at Sundial!,1br,735ft2
2309,DoverNH,$1075,Spacious Townhouse Apartment you can afford!,3br,1638ft2
2310,"Cornish,NH",$975,"2 BR Apartment, Large Yard",2br,850ft2
2311,8FranklinHeights,$1250,Newly renovated condo for rent!,2br,964ft2
2312,"Plaistow,NH",$1400,2 Bed 1 Bath recently renovated unit in Plaistow - Includes H & HW,2br,812ft2
2313,Lebanon,$1900,"Central Air Conditioning, Elevators in select buildings, Recycling",2br,999ft2
2314,ClaremontNH,$875,2 BR Apartment Downtown Claremont $204/week,2br,810ft2
2315,Swanzey,$1354,"Modern Appliances, Laundry Facility, Walk In Closets",2br,1079ft2
2316,BeaconandLaure,$1200,"2 Bedroom, 1 1/2 bath Lrg 1st Flr Apt near Elliot Hosp & Deerfield Pk",2br,940ft2
2317,60D,$1100,LAST STUDIO AVAILABLE FOR 2019-2020! Davis Court,1br,
2318,5DennisonRoad,$725,"Updated 2 BR, 3 Person Apt Available for 2019-2020",2br,
2319,64B,$875,Renovated 4 Person Townhouse Available Fall 2019!,2br,
2320,561A,$795,"BEAUTIFUL 3 BR, 5 Person Apt. at Davis Court!",3br,
2321,21MadburyRoad,$965,Units Leasing Quickly! Reserve your space at Madbury Commons Today!,4br,
2322,60AMadburyRoad,$875,5 BR Renovated Apt. at Davis Court!,5br,
2323,62DavisCourt,$795,"4 BR, 6 Person Townhouse at Davis Court Available- 2019-2020",4br,
2324,Keene,$1295,Warm & Welcoming! Tucked Away In Central Keene Area!,1br,
2325,164RoxburyStreetKeene,$595,Large studio,,
2326,,$1450,"Manchester, Kennard Rd. Townhouse 3 Bedroom $1450.00 month",3br,1100ft2
2327,"497MapleStreetManchester,NH",$800,2 Bedroom Apartment Located behind Central Highschool!,2br,
2328,"25BemisSt.,Berlin",$900,"2 story home, 4 bedroom",4br,
2329,"FoxHollowDrive,Hudson,NH",$1500,Fox Hollow - Large Unit w Eat In Kitchen/big closets NEW YEAR!,2br,1200ft2
2330,"292HillsboroSt.,Berlin,NH",$800,"2 story home, 2 bedroom",2br,
2331,Manchester,$1145,No shoveling - No maintenance - All done for you - November -,1br,600ft2
2332,36BlossomSt.,$1300,"Nashua- 3 Bedroom, Spacious and sunny w/3 season porch.",3br,1500ft2
2333,Portsmouth,$1465,The Pines - 2 bed 1 bath Close to Down Town Portsmouth!!,2br,952ft2
2334,Portsmouth,$1465,The Pines - 2 bed 1 bath Close to Down Town Portsmouth!!,2br,952ft2
2335,Portsmouth,$1340,The Pines - 2 bed 1 bath Close to Down Town Portsmouth!!!,2br,
2336,Meredith,$1100,23 Pleasant St. Unit 1-10,2br,1053ft2
2337,Lebanon,$2125,Fireplace - Garage - 3 Bedroom - November Move -,3br,1706ft2
2338,"517SecondAve.,Berlin,NH",$1100,"2 story home, 4-5 Bedrooms",4br,
2339,"8CascadeFlats#1,Gorham,NH",$750,"1st Floor, 2 BR Apartment",2br,
2340,"578RockinghamSt.#3,Berlin,NH",$550,"3rd Floor, 1 (possible 2) BR Apartment",1br,
2341,Concord/Penacook,$1600,3 bedroom townhouse for rent,3br,1200ft2
2342,Dover,$1539,SCARY MOVE IN DEALS! - Call Today!,2br,
2343,Hudson,$1500,Fox Hollow - Large 2 Bed w eat in kitchen Avail mid November,2br,1200ft2
2344,Hudson,$1385,Fox Hollow - Available mid November 2 Bedroom 1 1/2 baths,2br,1025ft2
2345,"Lawrence,MA",$2350,Luxury City Living! Beautiful Loft Building (Unit 2-509),2br,1786ft2
2346,"Nashua,NH",$2100,2 Bedroom Condo,2br,1950ft2
2347,,$1400,Portsmouth downtown/west end  Apartment,1br,
2348,"Manchester,NH",$1100,Two bedroom condo in Pinewood Estates,2br,920ft2
2349,barre,$795,one bedroom apartment,,
2350,KitteryMaine,$1350,Price Reduced - Beautiful Country Setting,2br,
2351,"108WMainStreet,Merrimac,MA",$1849,Hard Hat Tours at Regency Village!,2br,1071ft2
2352,Lebanon,$2125,Fall in love with your 3 bedroom townhouse - Garage -,3br,1706ft2
2353,,$2195,"Brand New Two Bedroom Apartment Homes in Salem, NH",2br,959ft2
2354,Goffstown,$1150,☀ BEAUTIFUL Two Bedroom ☀ Available NOVEMBER!,2br,770ft2
2355,Manchester,$1635,🎃 No Tricks Just Treats at The Lofts at Mill West #114,2br,911ft2
2356,IslingtonStreet,$2100,Portsmouth - Large 3 bedroom downtown w/off-street parking,3br,1800ft2
2357,Manchester,$1145,First floor - November move - 1 Bedroom - Pet friendly -,1br,600ft2
2358,IslingtonStreet,$2100,Portsmouth 3 bedroom dowtown w/off-street parking,3br,1800ft2
2359,,$1808,"2 bedroom - 24-hour maintenance emergency response, Carports available",2br,933ft2
2360,Manchester,$1785,👻This Hauntingly Good Deal Won't Last Long - #a313,2br,1100ft2
2361,,$1700,✂✂✂ Move in Specials! Call Now and Cut down Some Costs! Manche,2br,1125ft2
2362,"BaxterLake,Rochester",$1300,"Lake Rentals $1-2k , Near Rochester-Dover-Portsmouth-Kittery",3br,
2363,,$1649,"1 bedroom - Full-size washer and dryer in each home, Granite counterto",1br,739ft2
2364,,$1700,Stunning 2B1B Move in Ready! $300OFF FIRST MONTH!,2br,1125ft2
2365,Manchester,$2600,Don't Compromise Get The New Home Of Your Dreams #213,2br,1430ft2
2366,Laconia,$994,Call Today To Income Qualify,2br,973ft2
2367,"Dover,NH",$1625,Wooden beam and exposed brick |Heat | Hot Water | Wi-Fi included,1br,823ft2
2368,Swanzey,$1255,"Professionally Managed, Walk In Closets, Exterior Storage",2br,1018ft2
2369,"Derry,NH",$2100,"3 Bedroom Home for Rent, HT/HW/ELEC INCLUDED!!!",3br,1300ft2
2370,Lebanon,$1660,"Spacious Closets, Laundry Service Pick Up and Delivery, Free Weights",1br,697ft2
2371,"8MarshalCourt#2Pittsfield,NH",$1000,Spacious 2-3 Br / Ba w/ Heat Included,,
2372,"21MechanicSt.Farmington,NH",$800,Spacious 1 Br/ 1 Ba  A must see!  Fall move in special,,
2373,"18ChestnutSt,Claremont",$1100,*=FRIENDLY COMMUNITY||3 BED 1.5BATH HOME AVAILABLE||,,
2374,"northeastManchester,nh",$1295,First floor-spacious sunny 2 bdrm 1.5 bath beautiful hardwoods,2br,1100ft2
2375,"NortheastManchester,nh",$1100,Sunny & Spacious,2br,1000ft2
2376,Nashua,$1000,"1 bedroom Apartment For Rent $1,000 A Month",1br,
2377,"Quechee,VT",$1300,"West Quechee Studio, no Pets permitted",1br,500ft2
2378,GilfordNH,$1100,"Fully furnished, 4 miles to  Lakes Region General Hospital",1br,
2379,"Manchester,NH",$1125,"5 ROOMS, 2 BED APARTMENT, 2nd FLOOR IN QUIET CLEAN HOUSE",2br,1120ft2
2380,,$15451645,Spacious Studio Apartment Homes in Brand New Community,,
2381,LangdonStreet,$3900,PSU Plymouth 2019-2020 3-Bedroom Apartment,3br,
2382,30PleasantStreet,$3900,PSU - Entire House Available 2018-2019,,
2383,Plymouth,$3600,PSU Plymouth NH 2018-2019 4-Bedroom House,4br,
2384,Plymouth,$850,PSU Quiet House - Attention Graduate Students,1br,
2385,,$2195,Two Bedroom Apartment Homes Available Now!,2br,959ft2
2386,,$1952,"2 bedroom - Oversized garden tubs, Mini blinds, River and wooded views",2br,1097ft2
2387,BerlinNH,$725,"Berlin 3 Bedroom 2nd floor unit, Bright, Clean...nice location",3br,950ft2
2388,BerlinNH,$150,Berlin Short Term Furnished Room Rentals for Visting Nurses and Guards,2br,850ft2
2389,BerlinNH,$750,Berlin West Side 124 Wight Street 1st floor - heat included,2br,1000ft2
2390,"Berlin,NH",$525,Excellent condition 1br Berlin NH apartment available now,1br,550ft2
2391,BerlinNH,$725,Berlin West Side 124 Wight Street 2nd floor - heat included,2br,1000ft2
2392,,$1795,Brand New One Bedroom Apartments!,1br,695ft2
2393,,$1915,"2 bedroom - Well-landscaped grounds, Plank flooring, Granite countertops",2br,949ft2
2394,BagdadRoad,$3000,"Walk to campus, downtown, Amtrak, 4 beds, 2 baths, 2 car attached garage, more o",4br,1365ft2
2395,,$1649,"1 bedroom - Valet dry-cleaning service, River and wooded views",1br,739ft2
2396,,$1545,Spacious Studio Apartment Homes in Brand New Community,,
2397,"72HighSt.,Exeter,NH",$1450,COACH HOUSE RENTAL,1br,1000ft2
2398,maplest,$1250,3 Bedroom Apartment in West Lebanon,3br,1000ft2
2399,,$1770,One Bedroom Apartment Homes!,1br,658ft2
2400,,$1700,"1 bedroom - Carports available, 24-hour maintenance emergency response",1br,739ft2
2401,,$1649,"1 bedroom - Balcony, Full-sized washer and dryer in apartment",1br,739ft2
2402,,$1770,One Bedroom Apartment Homes!,1br,658ft2
2403,17FirststDover,$900,"Downtown 1 Bed w/Porch, Heat+HW Included",1br,
2404,Nashua,$720,1 Room for Rent in 2 Bed Apartment near exit 8,2br,980ft2
2405,,$2195,Two Bedroom Apartment Homes Available Now!,2br,959ft2
2406,,$1813,"2 bedroom- First floor, Water view, Walk in closets, Granite counters",2br,933ft2
2407,Concord,$800,$800 Studio apartment w/ Utilities included,200ft2,
2408,"Lyme,NH",$800,Studio Apartment for Rent,1br,1800ft2
2409,36Warren,$2400,Melrose Three bedroom Two Baths,3br,1000ft2
2410,Farmington,$1800,"Waterfront, Baxter Lake",3br,1900ft2
2411,"Plymouth,NH",$1450,"Recently renovated house, walking distance to downtown, big backyard",1900ft2,
2412,Gilford,$1100,GILFORD 3 bedroom,3br,
2413,,$1863,"2 bedroom - Full-size washer and dryer in each home, Granite countertops",2br,949ft2
2414,Manchester,$1850,Bright and Spacious 2 Bedroom with a River View and Exposed Brick(311),2br,1035ft2
2415,Manchester,$1635,Spacious Living at the Lofts at Mill West - 2BR/1BA (114),2br,911ft2
2416,Manchester,$1810,2nd floor Manchester Mill West 2 BR Apartment! (207),2br,1035ft2
2417,,$2195,Two Bedroom Apartment Homes Available Now!,2br,959ft2
2418,Nashua,$1600,"Stop on by check out unit #127, you'll LOVE it!",1br,803ft2
2419,Laconia,$1250,Wooded View~Private Patio~Stainless Appliances~Laconia~Washer/Dryer,2br,984ft2
2420,Manchester,$1145,Cozy - Renovated ~ Bamboo Flooring ~ Southside Manor ~ Rural ~,1br,
2421,Manchester,$1145,There's no place like home ~ Renovated ~ Rural Area ~ Pet Friendly ~,1br,
2422,Manchester,$1145,Worry free and maintenance free ~ Call Today ~ Rural Area ~,1br,
2423,Swanzey,$1354,"Modern Fixtures, On Site Professional Mgmt, Walk In Closets",2br,1079ft2
2424,80GolfviewDr.Manchester,$1550,Greenview Village Townhouse in Manchester,2br,1100ft2
2425,Manchester,$1145,1 Bedroom - Rural - Southside Manor - November -,1br,600ft2
2426,Loudon,$1200,2BR duplex,2br,960ft2
2427,"Manchester,NH",$1620,Have a Lofty Thanksgiving in Your Manchester Mill #1 Loft,2br,1008ft2
2428,Manchester,$1660,Blending Relaxation & Sophistication to Create the Ideal Place.,2br,1044ft2
2429,HamptonBeach,$1650,Two Bedroom Apartment Near the Beach,2br,
2430,Manchester,$1360,"2 Bedroom 1 Bathroom, Pet Friendly!",2br,
2431,WhiteRiverJunction,$1100,Furnished 1 bedroom apartment w/ utilities included,600ft2,
2432,Manchester,$1660,Live Like You Want. That's Our Anthem.,2br,1044ft2
2433,Swanzey,$1255,"Schedule a Tour, Walk In Closets, Heat Included",2br,1018ft2
2434,Manchester,$2145,Live Like You Want. That's Our Anthem. Unit LL16,3br,1515ft2
2435,Dover,$1539,$500 Off Move In Costs! - Ready for  Move In,2br,
2436,Manchester,$1810,Unparalleled Views. Exceptional Style. Nonstop Luxury. Unit 215,2br,1035ft2
2437,Manchester,$1145,Manchester's Southside Manor is waiting for you - Call -,1br,600ft2
2438,Manchester,$1810,"Location, Community, Quality Living. It Starts Here! Unit 209",2br,1020ft2
2439,,$2066,"2 bedroom - Pet friendly with some restrictions, Well-landscaped grounds",2br,1097ft2
2440,Laconia,$1255,Come See How Beautiful Apple Ridge is in the Fall!,2br,984ft2
2441,Lebanon,$2175,"Location, Community, Quality Living. It Starts Here!",3br,1706ft2
2442,Lebanon,$2125,Spacious Modern Living. Prospect Hills.,3br,1706ft2
2443,Nashua,$1795,Stunning. Unique. And Very Upscale. Unit 324,2br,1098ft2
2444,Laconia,$994,Income Qualify Today,2br,973ft2
2445,"Nashua,NH",$1450,Modern Amenities. Sophisticated Style Lofts 34 (LL-A6),1br,946ft2
2446,ManchesterNH,$1160,Gracious  square foot apartment in Manchester,1br,650ft2
2447,Lebanon,$1900,"Fitness Center, Recycling, Public Transportation, Elevator, Storage",2br,1000ft2
2448,,$1700,►►TWO BEDROOMS PET FRIENDLY - W/D IN THE UNIT ~MANCHESTER ◄,2br,1125ft2
2449,,$1700,Elevators for your convenience! Excellent Location & Pet Friendly!,2br,1125ft2
2450,Lebanon,$2125,Townhouse - Yard - Patio - Fireplace - Pet Friendly -,3br,1706ft2
2451,,$1660,PRE LEASE NOW FOR JANUARY! *2 BED 2 BATH*PET FRIENDLY*,2br,949ft2
2452,Keene/Swanzey,$1310,Lovely Apartment In A Desirable Neighborhhod!,2br,
2453,ManchesterNH,$1461,Open and Bright,2br,985ft2
2454,Manchester,$1000,Beautiful 2 Bedroom in Manchester!,2br,
2455,Salem-RockinghamArea,$2170,Be the first to live here! Beautiful New Luxury Unit! Pet Friendly!,2br,
2456,Salem-RockinghamArea,$2180,Be the first to live here! Beautiful New Luxury Unit! Pet Friendly!,2br,
2457,,$1813,"2 bedroom - Lighted tennis & basketball courts, Year-round BBQ stations",2br,933ft2
2458,,$2188,"2 bedroom - Walk in closets, Plank flooring, 9-ft ceilings",2br,1097ft2
2459,"Nashua,NH",$1425,Dog and Cat Friendly 2BR on 2nd Floor! Move in Next Week!,2br,1050ft2
2460,,$1649,"1 bedroom - Oversized garden tubs, Plank flooring, Granite countertops",1br,739ft2
2461,,$1827,"2 bedroom - Full-size washer and dryer in each home, Granite counterto",2br,949ft2
2462,,$1777,"2 bedroom - Oversized garden tubs, State-of-the-art clubhouse with WiFi",2br,933ft2
2463,Manchester,$1145,"Right Around the Corner, Near Everywhere You Want to Be",1br,600ft2
2464,Manchester,$1145,Remarkable Value. Unbeatable Location - Southside Manor,1br,600ft2
2465,Salem-RockinghamArea,$2170,Be the first to live here! Beautiful New Luxury Unit! Pet Friendly!,2br,
2466,19AFairmountSt.,$1745,House in Nashua- 11/11 Sun OPEN HOUSE 12-2,3br,
2467,Nashua,$1795,🐇 Hop on over to Lofts 34! 122,2br,952ft2
2468,Nashua,$1820,💰  Keep money in the Bank! 1 Month FREE Rent! Lofts 34! 238,1br,1212ft2
2469,Manchester,$1360,"2 bedroom, heat and hot water included!",2br,
2470,TheResidencesatSundial,$1650,◄Lovely 1 Bedroom Apartment w/Den... Waiting for you to Call it Home!,1br,806ft2
2471,"1400FrontSt.,Manchester",$1425,"Regency Place, Premier 55+ Apartments",1br,750ft2
2472,,$2066,"2 bedroom - Easy access to the 12-mile Heritage Trail, Plank flooring",2br,1097ft2
2473,Lebanon,$2125,Move in November - Propane fireplace - Garage -,3br,1706ft2
2474,franklinNH...,$850,Deal ...Nice Townhouse style 2 bdrm w/ views of winni river,2br,820ft2
2475,Manchester,$1145,Beautiful areas to walk around - Rural - Move in November -,1br,600ft2
2476,"Greenville,NH",$775,"Riverside Apartments, 1 bed",1br,
2477,"Greenville,NH",$725,"Riverside Apartments, 1 bed",,
2478,Manchester,$1810,Make Your Move Before It's Too Late - #207,2br,1035ft2
2479,"18ChestnutSt,Claremont",$1100,*=FRIENDLY COMMUNITY||3 BED 1.5BATH HOME AVAILABLE||,,
2480,Manchester,$1810,Beautiful Original Hardwood Floors Plus Bonus Room #224,2br,1029ft2
2481,"Nashua,NH",$1450,Change is in the Air!  Sunny & Bright 1 BR Available NOW!,1br,560ft2
2482,Somersworth,$925,Last remaining studio!!  HHW included!,392ft2,
2483,Laconia,$1255,Best Wooded View Apple Ridge has to Offer!! This ones a keeper!!,2br,984ft2
2484,Somersworth,$1410,"Winter is coming, don't stress about heating bills!  HHW included!",917ft2,
2485,Concord,$1500,"Concord, 3bed/1.5bath, 2 floors with attic and basement, garage",3br,1500ft2
2486,Milford,$1495,"Beautiful 2 bedroom town homes, full basement",2br,1000ft2
2487,Manchester,$1785,No Application Fees! Centrally Located in Manchester #115,2br,1012ft2
2488,Laconia,$1249,Income Qualify Today For Our Waitlist,3br,1203ft2
2489,Somersworth,$1340,Welcome home!! We've got your heat covered this winter!,733ft2,
2490,Lebanon,$1660,"Built In Microwave, Patio/Balcony, Short Term Lease, Spacious Closets",1br,697ft2
2491,,$1700,✂✂✂ Move in Specials! Call Now and Cut down Some Costs! Manche,2br,1125ft2
2492,03773,$875,Available Next Week!,2br,1100ft2
2493,Manchester,$1700,☎CALL TODAY! TIME IS RUNNING OUT ON SAVINGS AT CARISBROOKE,2br,1125ft2
2494,,$650,One bed room,1br,
2495,,$1828,"2 bedroom - Granite countertops, Adjustable track lighting",2br,933ft2
2496,Portsmouth,$2000,2 Bedroom apartment in downtown Portsmouth,2br,
2497,Berlin,$950,2 Bedroom House,2br,
2498,"Manchester,NH",$1455,Spacious 2 Bedroom Apartments Starting at $1455!! HEAT and H/W Include,2br,975ft2
2499,"Mason,NH",$2595,Large Colonial for Rent,3br,2650ft2
2500,"134MammothRd,Hooksett",$1200,2 Bedroom Apartment in Hooksett,2br,
2501,KeeneNH,$1265,Apartment available,2br,
2502,Stoddard,$1200,Apartment for Rent,2br,
2503,,$950,Conway village,1br,
2504,"Plymouth,NH",$900,Plymouth farm apt,1br,
2505,BRIDGESTREETMANCHESTER,$925,TOWNHOUSE APT.,1br,
2506,MANCHESTER,$1200,HEATED 2 BEDROOM,2br,
2507,Nashua,$675,"ROOM Available, W/D in UNIT!!",2br,
2508,Nashua,$1795,Lofts 34! Much to do Much to see check us out Franklin Street! #108,2br,1098ft2
2509,Nashua,$1795,Lofts 34 now offering one month free rent! Come see! #107,2br,1098ft2
2510,"Intervale,NH",$1325,3 bedroom Apartment,3br,1560ft2
2511,"Nashua,NH",$1795,"If your 👢 were made for walking, walk on over to Lofts 34",2br,1098ft2
2512,SouthBerwick,$1600,2br/1.5bath House for rent $1600 + utilities,2br,1500ft2
2513,Manchester,$1145,There's no place like home ~ Renovated ~ Rural Area ~ Pet Friendly ~,1br,
2514,Manchester,$1145,Rural area - Close to shopping - Laundry on site - Southside Manor -,1br,600ft2
2515,Manchester,$1145,Cozy - Renovated ~ Bamboo Flooring ~ Southside Manor ~ Rural ~,1br,
2516,"Manchester,NH",$1455,"Heat and hot water included, Smoke Free, Great location next to 93/293",2br,975ft2
2517,Dover,$1529,All Renovated Two Bedroom Apartment- Close to Downtown Dover!,2br,
2518,Laconia,$1255,No More Laundromat!! We provide a Washer/Dryer in all Laconia Apts.,2br,984ft2
2519,"108WMainStreet,Merrimac,MA",$1849,"Luxury 55+ Active Adult Community- Coming Soon to Merrimac, MA",2br,1071ft2
2520,"1400FrontSt.,Manchester",$1425,"Regency Place, Premier 55+ Apartments",1br,750ft2
2521,Manchester,$1350,In the heart of the City!,2br,
2522,Swanzey,$1354,"Perfect Location, Patio, Wall to Wall Carpet",2br,1079ft2
2523,"2040ElmSt,ManchesterNH",$1395,HUGE NORTH END APT -- 3 bedrooms,3br,1600ft2
2524,"westlebanon,nh",$1325,2 bedroom West Lebanon - short lease with option to renew,2br,
2525,"80GolfviewDrive,Manchester,NH",$1550,Greenview Townhomes,2br,1200ft2
2526,Nashua,$1500,"Nice 3 Bedroom, 2 BA apt, 1 mile from Rt 3",3br,1100ft2
2527,summerstreet,$1395,Two bedroom apartment 5 minute walk to downtown Dover,2br,650ft2
2528,Manchester,$1145,Bring your fury pal to this pet friendly community -,1br,600ft2
2529,1850FrontStManchesterNH,$1850,"Regency West, Luxury 55+ Apartments",2br,1140ft2
2530,Lebanon,$1900,"Views Available, On-Site Maintenance, High Speed Internet, Storage",2br,999ft2
2531,Nashua,$1825,Come Check out Our Spooktacular Views at Lofts 34!   #230,2br,1066ft2
2532,3CountryClubDrManchesterNH,$1875,Rivers Edge Condos in Manchester! Luxury 55+ Community,2br,1470ft2
2533,Nashua,$2825,Dracula Says Lofts 34 is Fang-tastic. Set Up a Tour Today! #325,3br,1870ft2
2534,,$1550,"Two Bed w/Bonus Room - HEAT, Water, & W/D Included!",2br,985ft2
2535,"Nashua,NH",$1495,Beautiful Top Floor 2BR w/Renovated Kitchen and New Vinyl Flooring!!,2br,980ft2
2536,Swanzey,$1255,"Convenient Location, Wall to Wall Carpet, Hot Water Included",2br,1018ft2
2537,Laconia,$1255,Make the Move to Apple Ridge in Laconia- Call today for availability,2br,984ft2
2538,Harvard/Central,$2200,"Beautiful, Bright 1 BR Near Harvard/Central - No Fee!",1br,630ft2
2539,Manchester,$1360,"2 Bedroom 1 Bathroom, Pet Friendly!",2br,
2540,Manchester,$1890,We are Creepin' It Real at Lofts at Mill West #LL12,2br,1090ft2
2541,Dover,$1900,large studio,1br,
2542,Laconia,$994,Call Today To Income Qualify for Our Waitlist,2br,973ft2
2543,,$1700,✂✂✂ Cut Down on Those Move-In Costs with our Move in Specials!,2br,1125ft2
2544,,$1700,►►TWO BEDROOMS PET FRIENDLY - W/D IN THE UNIT ~MANCHESTER ◄,2br,1125ft2
2545,WestsideManchester,$1250,1250.00 / 2 bedroom with 1 car garage,2br,
2546,Amherst/MontVernon,$2500,First Month Free! Executive Home - Desirable Souhegan School District,5br,3800ft2
2547,"OneWaterfordWay,Manchester",$1461,Two Bedroom Apartment for Rent,2br,985ft2
2548,Lebanon,$2125,Prospect Hills in Lebanon has a beautiful 3 bedroom townhouse,3br,1706ft2
2549,Manchester,$1145,Manchester - Rural Area - Move before the Holiday's -,1br,600ft2
2550,Keene,$1295,Come Take A Look Before It's Gone!,1br,
2551,nashua,$1269,"Nashua Large Slider to Balc, Great Storage, Walk to Shops/Movies/Park",2br,832ft2
2552,nashua,$1629,NASHUA /Lg Balc/Great Storage. Near Hghwy/Shops/Movies/Park,3br,1088ft2
2553,Hampton,$1500,2 bedroom 1 bathroom,2br,810ft2
2554,ALTON,$1200,DOUBLE WIDE PRIVATE LAND--EASY ACCESS OFF HIGHWAY,2br,1456ft2
2555,35Brownave.,$1095,Nice 2 Bedroom 2nd Floor,2br,
2556,FranklinNH,$1050,Rustic Duplex 1 Bedroom,1br,
2557,"Jaffrey,NH",$1325,3 bedroom Apt - First Floor,3br,1160ft2
2558,Tilton,$898,Tilton! Affordable Townhouses! APPLY TODAY!,2br,
2559,"108WMainStreet,Merrimac,MA",$1600,"Luxury 55+ Active Adult Community- Coming Soon to Merrimac, MA",1br,889ft2
2560,10Noblest,$950,Nice apartment - good location,1br,
2561,Meredith,$862,Meredith! Affordable Garden Style Units! APPLY TODAY!,2br,
2562,Wolfeboro,$730,Wolfeboro! Garden Style Apts. & Townhouses! APPLY TODAY!,2br,
2563,"York,ME",$1200,2 Bedroom Apartment,2br,700ft2
2564,"York,ME",$1300,New 2 bedroom apartment,2br,750ft2
2565,York,$1400,New 1 bedroom apartment w/ utilities,1br,750ft2
2566,Lebanon,$1960,"Laundry Service Pick Up and Delivery, Elevator, Views Available",2br,1010ft2
2567,Milford,$4000,Garage for rent,3600ft2,
2568,Manchester,$1360,"2 Bedroom 1 Bathroom, Pet Friendly!",2br,
2569,TheResidencesatSundial,$1525,"❤ You'll Fall in Love with the Lifestyle, Location & Community!!",1br,735ft2
2570,"Chesterfield,NH",$900,"2 Bedroom Apt,  Keene Area,  Available Now",2br,750ft2
2571,Laconia,$1255,Affordable~Bamboo~Washer/Dryer~Laconia~Granite,2br,984ft2
2572,"Nashua,NH",$1500,"Location, Location, Location!  Welcome Home to Pheasant Run!",2br,750ft2
2573,Keene/Swanzey,$1325,"Private Keene neighborhood!Includes Heat,Hot Water, & Covered Parking!",2br,
2574,"Manchester,NH",$1660,MILL NO. 1 WOW FACTOR,2br,1044ft2
2575,"Manchester,NH",,Ramsay House Senior Subsidized Housing,,
2576,,$1862,"2 bedroom - Granite countertops, Gas-burning fireplaces, Plank flooring",2br,949ft2
2577,,$1649,"1 bedroom - Oversized garden tubs, Gated community with remote access",1br,739ft2
2578,Manchester,$1810,Celebrate the Holidays With Us - LMW,2br,1035ft2
2579,"Concord,N.H.",$1155,Concord 2 Bedroom executive coming up November .,2br,778ft2
2580,Manchester,$1810,The WOW Factor at LMW,2br,1020ft2
2581,Manchester,$1145,Check out this 1 bedroom to move into now - Southisde Manor -,1br,600ft2
2582,Manchester,$1785,The Hottest Digs in Manchester NH,2br,1012ft2
2583,Lebanon,$2125,Propane fireplace and garage - All set for Winter -,3br,1706ft2
2584,"108WMainStreet,Merrimac,MA",$1849,"Luxury 55+ Active Adult Community- Coming Soon to Merrimac, MA",2br,1071ft2
2585,186MadisonStreet,$1450,Great 2-bedroom apartment near downtown Portsmouth,,
2586,Lebanon,$2125,Experience the Prospect Hills lifestyle. Unit 49,3br,1706ft2
2587,Lebanon,$2129,"Luxury, Location, and Convenience. Unit 39",3br,1706ft2
2588,"Nashua,NH",$1795,Franklin Street Lofts - Luxury at its finest (103),2br,1098ft2
2589,Manchester,$1145,Warm Up with Our Hot Specials At Southside Manor,1br,600ft2
2590,"Manchester,NH",$1145,Everything You Need. All Right Here at Southside Manor,1br,600ft2
2591,Laconia,$1249,Call Today To Income Qualify for Our Waitlist,3br,1203ft2
2592,"201at9WoodmanRd,DurhamNH",$797,Apartment at 9 Woodman Rd DURHAM!!,1br,
2593,Lebanon,$1660,"Package Receiving, Refrigerator with Ice Maker, Bike Racks, Recycling",1br,697ft2
2594,,$1700,✂✂✂ Move in Specials! Call Now and Cut down Some Costs! Manche,2br,1125ft2
2595,Dover,$1800,"Downtown Dover, Heat/HW, 3 Bed, 2 Bath, W/D in Unit  $1800",3br,1500ft2
2596,,$1700,"☎ Get $300Off First Month Rent, Move in Ready 2B1B! Manchester",2br,1125ft2
2597,61Lafayette,$1000,2 bdr. Rochester $1000 heat/HW included,,
